C,SETP.WORLD,DVD_DEMANDOPERATIONALACTUAL,AEMO,PUBLIC,2024/11/11,14:23:43,001731299023004,MONTHLY_ARCHIVE,001731299023004
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 09:00:00",QLD1,4336,"2024/10/01 09:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 09:00:00",SA1,1044,"2024/10/01 09:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 09:00:00",TAS1,1130,"2024/10/01 09:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 09:00:00",VIC1,4642,"2024/10/01 09:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 09:30:00",NSW1,5207,"2024/10/01 09:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 09:30:00",QLD1,4208,"2024/10/01 09:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 09:30:00",SA1,944,"2024/10/01 09:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 09:30:00",TAS1,1131,"2024/10/01 09:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 09:30:00",VIC1,4399,"2024/10/01 09:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 10:00:00",NSW1,4894,"2024/10/01 10:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 10:00:00",QLD1,4151,"2024/10/01 10:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 10:00:00",SA1,827,"2024/10/01 10:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 10:00:00",TAS1,1109,"2024/10/01 10:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 10:00:00",VIC1,4387,"2024/10/01 10:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 10:30:00",NSW1,4523,"2024/10/01 10:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 10:30:00",QLD1,4205,"2024/10/01 10:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 10:30:00",SA1,744,"2024/10/01 10:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 10:30:00",TAS1,1023,"2024/10/01 10:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 10:30:00",VIC1,4434,"2024/10/01 10:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 11:00:00",NSW1,4403,"2024/10/01 11:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 11:00:00",QLD1,4249,"2024/10/01 11:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 11:00:00",SA1,706,"2024/10/01 11:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 11:00:00",TAS1,984,"2024/10/01 11:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 11:00:00",VIC1,4293,"2024/10/01 11:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 11:30:00",NSW1,4270,"2024/10/01 11:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 11:30:00",QLD1,4345,"2024/10/01 11:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 11:30:00",SA1,580,"2024/10/01 11:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 11:30:00",TAS1,963,"2024/10/01 11:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 11:30:00",VIC1,3993,"2024/10/01 11:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 12:00:00",NSW1,4196,"2024/10/01 12:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 12:00:00",QLD1,4326,"2024/10/01 12:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 12:00:00",SA1,522,"2024/10/01 12:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 12:00:00",TAS1,965,"2024/10/01 12:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 12:00:00",VIC1,3761,"2024/10/01 12:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 12:30:00",NSW1,4156,"2024/10/01 12:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 12:30:00",QLD1,4282,"2024/10/01 12:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 12:30:00",SA1,430,"2024/10/01 12:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 12:30:00",TAS1,950,"2024/10/01 12:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 12:30:00",VIC1,3694,"2024/10/01 12:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 13:00:00",NSW1,4176,"2024/10/01 13:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 13:00:00",QLD1,4241,"2024/10/01 13:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 13:00:00",SA1,366,"2024/10/01 13:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 13:00:00",TAS1,937,"2024/10/01 13:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 13:00:00",VIC1,3632,"2024/10/01 13:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 13:30:00",NSW1,4214,"2024/10/01 13:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 13:30:00",QLD1,4303,"2024/10/01 13:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 13:30:00",SA1,318,"2024/10/01 13:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 13:30:00",TAS1,928,"2024/10/01 13:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 13:30:00",VIC1,3492,"2024/10/01 13:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 14:00:00",NSW1,4448,"2024/10/01 14:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 14:00:00",QLD1,4545,"2024/10/01 14:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 14:00:00",SA1,302,"2024/10/01 14:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 14:00:00",TAS1,933,"2024/10/01 14:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 14:00:00",VIC1,3502,"2024/10/01 14:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 14:30:00",NSW1,4693,"2024/10/01 14:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 14:30:00",QLD1,4881,"2024/10/01 14:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 14:30:00",SA1,295,"2024/10/01 14:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 14:30:00",TAS1,937,"2024/10/01 14:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 14:30:00",VIC1,3525,"2024/10/01 14:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 15:00:00",NSW1,5145,"2024/10/01 15:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 15:00:00",QLD1,5025,"2024/10/01 15:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 15:00:00",SA1,340,"2024/10/01 15:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 15:00:00",TAS1,942,"2024/10/01 15:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 15:00:00",VIC1,3647,"2024/10/01 15:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 15:30:00",NSW1,5636,"2024/10/01 15:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 15:30:00",QLD1,5325,"2024/10/01 15:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 15:30:00",SA1,394,"2024/10/01 15:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 15:30:00",TAS1,964,"2024/10/01 15:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 15:30:00",VIC1,3793,"2024/10/01 15:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 16:00:00",NSW1,6150,"2024/10/01 16:00:03",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 16:00:00",QLD1,5741,"2024/10/01 16:00:03",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 16:00:00",SA1,495,"2024/10/01 16:00:03",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 16:00:00",TAS1,993,"2024/10/01 16:00:03",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 16:00:00",VIC1,4135,"2024/10/01 16:00:03",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 16:30:00",NSW1,6824,"2024/10/01 16:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 16:30:00",QLD1,6164,"2024/10/01 16:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 16:30:00",SA1,622,"2024/10/01 16:30:01",0,0
